Branch	Duplications	Transfers	Losses	Originations	CopyNum
146	449.0399999999919	766.5399999999801	1379.8099999999602	59.91999999999994	6923.510000000127
147	1045.7799999999684	1564.889999999957	1401.5299999999554	426.2999999999927	8329.280000000304
148	494.2199999999909	701.7999999999819	1915.0799999999622	48.08999999999998	7027.820000000162
149	576.4099999999875	838.4299999999803	1954.019999999937	59.98999999999992	7698.790000000137
150	881.4899999999783	611.5199999999804	2277.289999999987	107.37000000000128	8177.980000000164
151	1328.409999999968	566.5299999999826	1179.2799999999565	236.1599999999988	8854.890000000216
152	1568.539999999966	545.9799999999865	1180.2399999999598	274.9499999999971	7903.07000000014
153	728.619999999981	626.2399999999843	511.91999999998666	348.29999999999217	6693.840000000202
154	527.1299999999867	667.2399999999856	647.259999999982	360.85999999998944	5502.6000000001595
155	389.8399999999945	586.3899999999892	705.5299999999817	221.14999999999938	4594.630000000109
156	711.519999999982	177.7800000000006	596.4299999999859	695.5999999999801	4102.780000000065
157	286.429999999997	161.87000000000074	452.7099999999917	334.1299999999938	3114.3100000000522
158	217.6700000000001	280.7699999999988	167.3900000000008	304.0399999999949	2784.590000000027
159	252.5199999999996	253.36999999999986	52.65000000000002	457.0099999999911	2149.4999999999827
160	138.1700000000008	0.0	6.0499999999999465	1107.1299999999887	1239.2499999999823
